Coord_pairs,Count,Sched_end_time,Sched_day
"(33.47, -117.17) (33.54, -117.15)",5,6:34:25,Wed
"(33.54, -117.15) (33.47, -117.17)",5,8:33:13,Fri
"(33.54, -117.15) (33.54, -117.1)",1,8:26:49,Mon
"(33.54, -117.15) (33.65, -117.35)",33,8:41:47,Wed
"(33.6, -117.87) (33.62, -117.91)",7,7:45:04,Wed
"(33.65, -117.35) (33.54, -117.15)",36,6:45:00,Thu
"(33.7, -117.15) (33.98, -117.35)",1,7:55:56,Sat
"(33.71, -117.84) (33.76, -117.88)",3,7:37:55,Fri
"(33.71, -117.99) (33.75, -118.02)",34,8:00:00,Mon
"(33.72, -117.88) (33.63, -117.83)",167,7:31:56,Mon
"(33.72, -117.91) (33.63, -117.83)",1,7:25:13,Tue
"(33.72, -117.91) (33.64, -117.84)",1,7:49:26,Sat
"(33.72, -118.29) (33.8, -118.11)",12,8:40:00,Wed
"(33.72, -118.29) (34.02, -118.26)",6,8:44:50,Wed
"(33.72, -118) (33.79, -118.04)",2,9:17:39,Wed
"(33.74, -117.87) (33.65, -117.85)",5,7:23:21,Fri
"(33.74, -118.28) (34.15, -118.09)",17,9:20:00,Fri
"(33.75, -117.18) (33.62, -117.28)",1,7:18:02,Tue
"(33.75, -117.81) (33.62, -117.91)",6,7:30:45,Thu
"(33.75, -117.87) (33.63, -117.83)",179,7:32:48,Fri
"(33.75, -118.3) (33.73, -118.3)",18,7:40:45,Sat
"(33.75, -118.31) (33.73, -118.3)",5,7:28:04,Thu
"(33.75, -118.31) (33.74, -118.31)",2,9:07:24,Fri
"(33.77, -117.25) (33.9, -117.32)",2,9:08:39,Tue
"(33.77, -118.28) (33.94, -118.24)",14,7:49:24,Wed
"(33.78, -117.81) (33.62, -117.91)",67,7:37:57,Wed
"(33.78, -117.89) (33.73, -118.03)",10,7:50:00,Tue
"(33.78, -117.89) (33.87, -117.77)",15,7:21:14,Wed
"(33.78, -117.89) (33.89, -117.87)",10,7:16:35,Fri
"(33.78, -118.19) (33.9, -118.23)",2,8:30:00,Tue
"(33.78, -118.27) (33.77, -118.32)",20,7:30:00,Thu
