trip_id,origin_lat,origin_lon,dest_lat,dest_lon,dur_actual,dist_pred,sched_end,date_only,sched_end_time_only,day_of_week,dep_origin,arr_at_dest
1248167,33.91,-118.35,33.92,-118.35,7,1,1/28/19 7:38,1/28/19 0:00,7:38:17,Monday,1/28/19 7:29,1/28/19 7:36
1108571,34.05,-118.24,34.05,-118.26,12,1,12/6/18 7:28,12/6/18 0:00,7:28:48,Thursday,12/6/18 7:32,12/6/18 7:44
1229641,33.94,-118.02,33.97,-118.08,16,4,1/25/19 6:32,1/25/19 0:00,6:32:36,Friday,1/25/19 6:23,1/25/19 6:39
1022430,34,-118.46,34.03,-118.46,13,4,10/26/18 7:29,10/26/18 0:00,7:29:45,Friday,10/26/18 7:19,10/26/18 7:33
1327145,33.87,-118.25,33.73,-118.3,30,12,2/19/19 7:23,2/19/19 0:00,7:23:17,Tuesday,2/19/19 7:00,2/19/19 7:31
862690,33.95,-118.33,33.95,-118.32,5,1,8/17/18 7:26,8/17/18 0:00,7:26:02,Friday,8/17/18 7:23,8/17/18 7:28
986267,33.83,-118.38,33.81,-118.36,6,3,10/29/18 6:38,10/29/18 0:00,6:38:55,Monday,10/29/18 6:35,10/29/18 6:41
1209224,34.18,-118.53,34.18,-118.54,9,1,1/8/19 7:25,1/8/19 0:00,7:25:21,Tuesday,1/8/19 7:28,1/8/19 7:36
1425609,33.83,-118.38,33.81,-118.36,8,3,4/18/19 6:47,4/18/19 0:00,6:47:56,Thursday,4/18/19 6:34,4/18/19 6:41
1167233,34.13,-118.45,34.25,-118.49,23,12,2/7/19 7:20,2/7/19 0:00,7:20:54,Thursday,2/7/19 7:03,2/7/19 7:26
1047334,34.16,-118.51,34.16,-118.1,47,26,11/1/18 7:36,11/1/18 0:00,7:36:46,Thursday,11/1/18 7:13,11/1/18 7:59
828747,34.05,-118.4,34.13,-118.48,29,12,8/28/18 6:56,8/28/18 0:00,6:56:08,Tuesday,8/28/18 6:29,8/28/18 6:58
1564984,34.01,-118.38,34.01,-118.4,13,3,6/11/19 7:56,6/11/19 0:00,7:56:18,Tuesday,6/11/19 7:47,6/11/19 8:00
1102890,33.81,-118.3,33.84,-118.37,22,5,12/7/18 7:49,12/7/18 0:00,7:49:40,Friday,12/7/18 7:30,12/7/18 7:51
1507105,34,-118.46,34.03,-118.46,16,4,5/9/19 7:31,5/9/19 0:00,7:31:19,Thursday,5/9/19 7:18,5/9/19 7:34
1263896,34.02,-118.46,34.05,-118.38,24,7,1/28/19 8:09,1/28/19 0:00,8:09:05,Monday,1/28/19 8:13,1/28/19 8:37
1019166,34.02,-118.08,33.98,-118.04,16,4,10/17/18 7:54,10/17/18 0:00,7:54:27,Wednesday,10/17/18 7:45,10/17/18 8:01
1071097,33.96,-118.35,33.87,-118.39,26,9,11/9/18 6:51,11/9/18 0:00,6:51:06,Friday,11/9/18 6:33,11/9/18 6:58
1571432,34.09,-117.89,34.06,-117.88,12,3,6/28/19 7:17,6/28/19 0:00,7:17:52,Friday,6/28/19 6:56,6/28/19 7:07
1205643,34.21,-118.17,34.19,-118.18,7,2,1/7/19 8:53,1/7/19 0:00,8:53:59,Monday,1/7/19 8:44,1/7/19 8:51
1107087,33.93,-118.32,33.96,-118.43,28,10,12/5/18 7:24,12/5/18 0:00,7:24:39,Wednesday,12/5/18 6:58,12/5/18 7:26
1127458,34.01,-118.41,34.02,-118.43,8,2,12/13/18 7:39,12/13/18 0:00,7:39:42,Thursday,12/13/18 7:35,12/13/18 7:43
1044931,33.94,-118.36,33.9,-118.36,13,3,10/29/18 9:13,10/29/18 0:00,9:13:16,Monday,10/29/18 8:55,10/29/18 9:08
998733,34.14,-118.2,34.06,-118.33,47,15,10/9/18 7:56,10/9/18 0:00,7:56:06,Tuesday,10/9/18 7:02,10/9/18 7:49
1051215,33.99,-118.38,34.01,-118.4,7,3,10/31/18 7:30,10/31/18 0:00,7:30:40,Wednesday,10/31/18 7:25,10/31/18 7:33
1271677,34.06,-117.76,34.06,-117.72,11,3,2/5/19 7:46,2/5/19 0:00,7:46:58,Tuesday,2/5/19 7:45,2/5/19 7:55
966925,34.05,-118.24,34.05,-118.26,10,1,9/26/18 7:30,9/26/18 0:00,7:30:34,Wednesday,9/26/18 7:29,9/26/18 7:39
1558866,34.15,-118.42,34.19,-118.51,28,7,6/4/19 8:06,6/4/19 0:00,8:06:22,Tuesday,6/4/19 7:42,6/4/19 8:10
932120,34.05,-117.78,34.04,-117.76,9,3,9/20/18 7:24,9/20/18 0:00,7:24:20,Thursday,9/20/18 7:17,9/20/18 7:26
1060392,33.93,-118.32,33.96,-118.43,24,10,11/6/18 7:24,11/6/18 0:00,7:24:29,Tuesday,11/6/18 6:56,11/6/18 7:20
1444624,34.02,-118.46,34.05,-118.38,17,7,4/11/19 8:11,4/11/19 0:00,8:11:31,Thursday,4/11/19 7:46,4/11/19 8:04
942577,34.28,-118.52,34.26,-118.5,7,2,9/20/18 7:45,9/20/18 0:00,7:45:18,Thursday,9/20/18 7:28,9/20/18 7:36
1509365,33.99,-118.46,34.06,-118.45,30,8,5/8/19 8:28,5/8/19 0:00,8:28:35,Wednesday,5/8/19 7:55,5/8/19 8:25
1527627,34.05,-117.95,34.08,-117.9,12,5,5/14/19 9:25,5/14/19 0:00,9:25:50,Tuesday,5/14/19 9:13,5/14/19 9:25
1355638,33.95,-118.33,33.95,-118.32,4,1,3/1/19 7:45,3/1/19 0:00,7:45:56,Friday,3/1/19 7:44,3/1/19 7:48
1205569,34.05,-118.47,34.14,-118.39,36,13,1/7/19 8:16,1/7/19 0:00,8:16:20,Monday,1/7/19 7:48,1/7/19 8:23
1104605,34.19,-118.17,34.16,-118.11,15,6,12/14/18 7:29,12/14/18 0:00,7:29:23,Friday,12/14/18 7:12,12/14/18 7:28
1358624,33.94,-118.02,33.97,-118.08,15,4,3/5/19 6:32,3/5/19 0:00,6:32:30,Tuesday,3/5/19 6:19,3/5/19 6:34
1256389,34.08,-117.89,34.1,-117.83,14,5,1/23/19 8:44,1/23/19 0:00,8:44:29,Wednesday,1/23/19 8:30,1/23/19 8:44
1037526,34.22,-118.63,34.17,-118.64,12,5,10/24/18 8:44,10/24/18 0:00,8:44:02,Wednesday,10/24/18 8:26,10/24/18 8:38
1088119,34.16,-118.64,34.21,-118.64,10,4,11/20/18 7:52,11/20/18 0:00,7:52:37,Tuesday,11/20/18 7:42,11/20/18 7:52
1074919,33.77,-118.4,33.84,-118.37,24,8,11/14/18 7:39,11/14/18 0:00,7:39:16,Wednesday,11/14/18 7:11,11/14/18 7:35
905309,34.12,-118.08,34.13,-118.04,7,3,8/31/18 7:24,8/31/18 0:00,7:24:32,Friday,8/31/18 7:19,8/31/18 7:26
1390353,34.04,-118.49,34.01,-118.48,12,3,5/29/19 9:21,5/29/19 0:00,9:21:51,Wednesday,5/29/19 9:04,5/29/19 9:16
1523065,34.17,-118.52,34.14,-118.44,29,6,5/14/19 9:11,5/14/19 0:00,9:11:58,Tuesday,5/14/19 8:53,5/14/19 9:22
888715,34.01,-118.45,34.05,-118.3,30,12,8/30/18 7:24,8/30/18 0:00,7:24:43,Thursday,8/30/18 7:01,8/30/18 7:30
1287286,33.86,-118.13,33.78,-118.14,22,6,2/7/19 7:35,2/7/19 0:00,7:35:06,Thursday,2/7/19 7:19,2/7/19 7:41
1349298,34.09,-118.25,34.06,-118.28,23,4,3/12/19 8:18,3/12/19 0:00,8:18:47,Tuesday,3/12/19 8:04,3/12/19 8:27
1139372,33.95,-118.33,33.95,-118.32,5,1,12/17/18 7:40,12/17/18 0:00,7:40:59,Monday,12/17/18 7:38,12/17/18 7:44
1121206,33.97,-118.09,33.97,-118.11,8,2,12/11/18 7:54,12/11/18 0:00,7:54:57,Tuesday,12/11/18 8:02,12/11/18 8:10
1495710,34.05,-117.69,34.05,-117.82,20,11,5/3/19 7:05,5/3/19 0:00,7:05:51,Friday,5/3/19 6:43,5/3/19 7:02
1341951,34.09,-118.25,34.06,-118.28,15,4,3/4/19 8:18,3/4/19 0:00,8:18:41,Monday,3/4/19 8:06,3/4/19 8:21
1107088,33.93,-118.32,33.96,-118.43,31,10,12/6/18 7:24,12/6/18 0:00,7:24:48,Thursday,12/6/18 7:01,12/6/18 7:32
1180180,34.11,-118.28,34.11,-118.31,8,2,1/31/19 7:08,1/31/19 0:00,7:08:23,Thursday,1/31/19 6:56,1/31/19 7:04
