,Trip ID,Duration (min),Walking Time (min),Transit Time (min),Walking Distance (m),Transfers,Message
0,1248167,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
1,1108571,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
2,1229641,,,,,,No trip found.
3,1022430,,,,,,No trip found.
4,1327145,,,,,,No trip found.
5,862690,12.9,12.9,0.0,1004.1994360878238,0.0,Successful Run
6,986267,,,,,,No trip found.
7,1209224,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
8,1425609,,,,,,No trip found.
9,1167233,,,,,,No trip found.
10,1047334,,,,,,No trip found.
11,828747,,,,,,No trip found.
12,1564984,40.916666666666664,40.916666666666664,0.0,3148.1358872017536,0.0,Successful Run
13,1102890,80.76666666666667,8.033333333333333,62.7,613.0371729284855,2.0,Successful Run
14,1507105,,,,,,No trip found.
15,1263896,,,,,,No trip found.
16,1019166,,,,,,No trip found.
17,1071097,,,,,,No trip found.
18,1571432,,,,,,No trip found.
19,1205643,,,,,,No trip found.
20,1107087,,,,,,No trip found.
21,1127458,36.75,36.75,0.0,2823.945526304156,0.0,Successful Run
22,1044931,62.35,61.35,0.9666666666666667,4805.722270671585,0.0,Successful Run
23,998733,,,,,,No trip found.
24,1051215,,,,,,No trip found.
25,1271677,,,,,,No trip found.
26,966925,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
27,1558866,102.85,22.0,33.65,1688.0712932276845,2.0,Successful Run
28,932120,,,,,,No trip found.
29,1060392,,,,,,No trip found.
30,1444624,,,,,,No trip found.
31,942577,,,,,,No trip found.
32,1509365,223.48333333333332,44.916666666666664,150.43333333333334,3460.531586452144,3.0,Successful Run
33,1527627,,,,,,No trip found.
34,1355638,12.9,12.9,0.0,1004.1994360878238,0.0,Successful Run
35,1205569,,,,,,No trip found.
36,1104605,,,,,,No trip found.
37,1358624,,,,,,No trip found.
38,1256389,,,,,,No trip found.
39,1037526,,,,,,No trip found.
40,1088119,,,,,,No trip found.
41,1074919,,,,,,No trip found.
42,905309,,,,,,No trip found.
43,1390353,,,,,,No trip found.
44,1523065,77.38333333333334,52.15,25.15,4000.9522330635646,2.0,Successful Run
45,888715,,,,,,No trip found.
46,1287286,,,,,,No trip found.
47,1349298,,,,,,No trip found.
48,1139372,12.9,12.9,0.0,1004.1994360878238,0.0,Successful Run
49,1121206,30.183333333333334,30.183333333333334,0.0,2336.35291728462,0.0,Successful Run
50,1495710,,,,,,No trip found.
51,1341951,,,,,,No trip found.
52,1107088,,,,,,No trip found.
53,1180180,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
54,969376,26.15,26.15,0.0,2013.0106917187818,0.0,Successful Run
55,1385768,,,,,,No trip found.
56,1254845,,,,,,No trip found.
57,1299596,,,,,,No trip found.
58,1507108,,,,,,No trip found.
59,964061,,,,,,No trip found.
60,939335,,,,,,No trip found.
61,939355,,,,,,No trip found.
62,1318400,,,,,,No trip found.
63,1536983,670.2166666666667,57.1,62.18333333333333,4481.438112777272,2.0,Successful Run
64,873258,,,,,,No trip found.
65,1548153,86.36666666666666,22.033333333333335,46.68333333333333,1684.6904811951833,1.0,Successful Run
66,1024528,,,,,,No trip found.
67,1215801,,,,,,No trip found.
68,907462,16.45,16.45,0.0,1275.1531052585729,0.0,Successful Run
69,1312982,,,,,,No trip found.
70,998180,,,,,,No trip found.
71,1482536,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
72,950468,,,,,,No trip found.
73,1255028,,,,,,No trip found.
74,1560414,,,,,,No trip found.
75,1394827,17.533333333333335,17.533333333333335,0.0,1347.1353082666978,0.0,Successful Run
76,1364007,,,,,,No trip found.
77,1022291,56.766666666666666,52.96666666666667,3.7666666666666666,4119.655691720395,0.0,Successful Run
78,1507106,,,,,,No trip found.
79,947540,,,,,,No trip found.
80,1555994,34.266666666666666,9.916666666666666,24.316666666666666,756.3264736797099,0.0,Successful Run
81,1382927,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
82,948271,,,,,,No trip found.
83,1022388,,,,,,No trip found.
84,1327580,,,,,,No trip found.
85,1158790,,,,,,No trip found.
86,1396101,,,,,,No trip found.
87,1311699,,,,,,No trip found.
88,1197129,,,,,,No trip found.
89,1218853,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
90,1119874,,,,,,No trip found.
91,827235,,,,,,No trip found.
92,1380087,,,,,,No trip found.
93,925048,,,,,,No trip found.
94,1497736,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
95,912434,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
96,1376191,,,,,,No trip found.
97,1499642,,,,,,No trip found.
98,1452417,,,,,,No trip found.
99,1362501,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
100,1090964,,,,,,No trip found.
101,1500771,68.08333333333333,44.63333333333333,23.416666666666668,3440.356451112316,0.0,Successful Run
102,972717,,,,,,No trip found.
103,1329032,,,,,,No trip found.
104,965862,,,,,,No trip found.
105,1078682,,,,,,No trip found.
106,1058031,,,,,,No trip found.
107,1362004,,,,,,No trip found.
108,949114,,,,,,No trip found.
109,965864,,,,,,No trip found.
110,1335991,,,,,,No trip found.
111,1120312,39.516666666666666,39.516666666666666,0.0,3097.5377443529096,0.0,Successful Run
112,1291019,59.78333333333333,52.983333333333334,6.766666666666667,4120.165150364319,0.0,Successful Run
113,1295351,,,,,,No trip found.
114,1018509,,,,,,No trip found.
115,913020,,,,,,No trip found.
116,1036286,,,,,,No trip found.
117,1256645,,,,,,No trip found.
118,840647,,,,,,No trip found.
119,1352325,,,,,,No trip found.
120,1030117,,,,,,No trip found.
121,1082248,,,,,,No trip found.
122,944331,,,,,,No trip found.
123,1558659,,,,,,No trip found.
124,873132,,,,,,No trip found.
125,1190251,,,,,,No trip found.
126,1113975,,,,,,No trip found.
127,947547,,,,,,No trip found.
128,1326727,,,,,,No trip found.
129,1107639,51.36666666666667,40.71666666666667,10.616666666666667,3153.040030061892,0.0,Successful Run
130,1025084,,,,,,No trip found.
131,1093045,,,,,,No trip found.
132,827215,,,,,,No trip found.
133,1377597,,,,,,No trip found.
134,1133059,,,,,,No trip found.
135,960842,,,,,,No trip found.
136,1457806,,,,,,No trip found.
137,1362504,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
138,1390160,,,,,,No trip found.
139,1426837,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
140,1265767,39.516666666666666,39.516666666666666,0.0,3097.5377443529096,0.0,Successful Run
141,1018661,,,,,,No trip found.
142,1263260,,,,,,No trip found.
143,838555,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
144,1444443,,,,,,No trip found.
145,1501180,259.55,70.98333333333333,150.73333333333332,5535.791496232583,4.0,Successful Run
146,957093,,,,,,No trip found.
147,1065050,,,,,,No trip found.
148,1268791,,,,,,No trip found.
149,982492,,,,,,No trip found.
150,1354953,51.6,39.9,11.666666666666666,3056.842586460208,0.0,Successful Run
151,1279629,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
152,1365567,,,,,,No trip found.
153,1326724,,,,,,No trip found.
154,1384726,,,,,,No trip found.
155,949117,,,,,,No trip found.
156,1331117,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
157,1522657,,,,,,No trip found.
158,1420905,29.983333333333334,29.983333333333334,0.0,2318.7328496147084,0.0,Successful Run
159,1267367,,,,,,No trip found.
160,1458131,,,,,,No trip found.
161,1470177,,,,,,No trip found.
162,1444515,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
163,1294280,32.88333333333333,32.88333333333333,0.0,2544.620984956145,0.0,Successful Run
164,1079154,,,,,,No trip found.
165,1497662,,,,,,No trip found.
166,1507943,70.71666666666667,57.81666666666667,12.866666666666667,4401.80139848142,0.0,Successful Run
